date,campaign_id,campaign_name,channel,region,device,age_group,impressions,clicks,leads,conversions,spend,revenue
2025-05-23,CMP-1008,Display Remarketing,Google Ads,East,Mobile,18-24,1476,53,6,4,72.05,349.64
2025-02-05,CMP-1018,Pre-roll - Product Demo,YouTube Ads,South,Tablet,55+,23361,278,5,3,309.41,217.95
2025-02-05,CMP-1016,B2B Lead Gen - Enterprise,LinkedIn Ads,South,Mobile,18-24,2672,31,2,1,190.36,179.72
2025-03-21,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,North,Desktop,35-44,27318,377,11,6,418.92,744.42
2025-03-14,CMP-1001,Summer Sale Blast,Facebook Ads,Central,Mobile,45-54,6408,207,15,8,193.35,693.36
2025-04-13,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,West,Mobile,55+,15681,276,5,3,317.75,322.05
2025-05-28,CMP-1018,Pre-roll - Product Demo,YouTube Ads,East,Desktop,18-24,18191,342,4,3,277.18,188.1
2025-01-28,CMP-1015,Win-back Campaign,Email Marketing,North,Tablet,55+,27078,3003,259,201,240.28,13529.31
2025-03-11,CMP-1016,B2B Lead Gen - Enterprise,LinkedIn Ads,Central,Mobile,55+,5662,47,2,1,248.67,214.37
2025-06-09,CMP-1008,Display Remarketing,Google Ads,East,Mobile,55+,907,51,11,6,112.35,570.42
2025-06-06,CMP-1015,Win-back Campaign,Email Marketing,East,Desktop,45-54,56197,6193,1423,963,557.41,92679.12
2025-03-05,CMP-1004,Brand Awareness Q2,Facebook Ads,South,Mobile,25-34,1910,64,4,2,105.08,189.22
2025-03-26,CMP-1003,New Customer Acquisition,Facebook Ads,Central,Desktop,25-34,2769,95,5,4,132.18,411.04
2025-05-30,CMP-1009,Influencer Collab Push,Instagram Ads,East,Mobile,45-54,14801,336,9,5,242.59,369.3
2025-01-20,CMP-1020,Gen Z Engagement Drive,TikTok Ads,East,Mobile,25-34,2342,93,1,1,66.6,60.17
2025-02-10,CMP-1006,Search - Generic Terms,Google Ads,South,Tablet,55+,4204,243,18,13,336.31,1751.88
2025-03-30,CMP-1013,Abandoned Cart Sequence,Email Marketing,North,Mobile,55+,4378,458,36,29,55.07,2485.88
2025-04-27,CMP-1014,VIP Customer Offers,Email Marketing,North,Desktop,55+,8216,659,75,61,85.74,4393.83
2025-06-03,CMP-1013,Abandoned Cart Sequence,Email Marketing,West,Desktop,45-54,6563,890,156,91,89.05,7631.26
2025-02-22,CMP-1003,New Customer Acquisition,Facebook Ads,East,Tablet,35-44,2208,72,2,2,111.27,214.28
2025-06-16,CMP-1005,Search - Brand Terms,Google Ads,West,Tablet,55+,4588,184,12,9,356.08,891.99
2025-04-19,CMP-1008,Display Remarketing,Google Ads,South,Desktop,18-24,901,44,3,2,81.56,264.82
2025-06-29,CMP-1006,Search - Generic Terms,Google Ads,Central,,45-54,7647,195,16,12,370.58,1303.2
2025-05-04,CMP-1005,Search - Brand Terms,Google Ads,Central,Desktop,45-54,5144,142,16,12,383.22,1258.68
2025-05-04,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,North,Mobile,18-24,4629,25,1,1,89.61,334.2
2025-03-05,CMP-1005,Search - Brand Terms,Google Ads,North,Desktop,35-44,1962,114,6,4,234.06,391.52
2025-03-05,CMP-1015,Win-back Campaign,Email Marketing,South,Desktop,25-34,19260,1824,261,190,200.71,15730.1
2025-06-04,CMP-1003,New Customer Acquisition,Facebook Ads,Central,Tablet,35-44,10141,215,20,15,268.9,1036.2
2025-04-17,CMP-1003,New Customer Acquisition,Facebook Ads,North,Tablet,25-34,5263,110,4,3,176.48,208.74
2025-04-20,CMP-1005,Search - Brand Terms,Google Ads,West,Desktop,45-54,4519,249,25,15,299.02,1552.5
2025-06-02,CMP-1009,Influencer Collab Push,Instagram Ads,South,Desktop,45-54,10420,248,,12,275.42,1297.32
2025-05-07,CMP-1023,Coupon Site Partnerships,Affiliate Marketing,North,Tablet,25-34,12187,351,27,17,214.44,1740.97
2025-03-11,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,West,Mobile,55+,3301,35,3,2,151.05,652.3
2025-05-16,CMP-1012,Weekly Newsletter,Email Marketing,East,Mobile,55+,13190,1786,185,131,214.42,7473.55
2025-04-09,CMP-1011,Carousel - Best Sellers,Instagram Ads,North,Desktop,55+,2637,101,2,1,126.45,98.27
2025-03-27,CMP-1013,Abandoned Cart Sequence,Email Marketing,West,Desktop,45-54,4070,506,66,52,45.6,3228.16
